ID,NOMBRE_LIBRO
1,A Room with a View.txt
2,The Works of Edgar Allan Poe.txt
3,Politics- A Treatise on Government.txt
4,Moby Dick.txt
5,Woodworking Tools 1600-1900 .txt
6,Orgullo y prejucio.txt
7,Mujercitas.txt
8,Aristotle's History of Animals.txt
9,The Social Contract & Discourses.txt
10,The Life of Florence Nightingale, vol. 2 of 2.txt
11,romeo y julieta.txt
12,The Online World.txt
13,The Prince.txt
14,On the Origin of Species By Means of Natural Selection.txt
15,A Journey to the Centre of the Earth.txt
16,The Travels of Marco Polo.txt
17,The Modern Prometheus.txt
18,The Progress of Invention in the Nineteenth Century.txt
19,Steam-ships - The story of their development to the present day.txt
20,Jane's All the World's Aircraft..txt
21,Crime and Punishment.txt
22,Don Quijote.txt
23,he Complete Works of William Shakespeare.txt
24,Dracula.txt
25,De Re Metallica, Translated from the First Latin Edition of.txt
26,An Inquiry into the Nature and Causes of the Wealth of Nations.txt
27,Twenty Thousand Leagues under the Sea.txt
28,The Notebooks of Leonardo Da Vinci — Complete.txt
29,More Letters of Charles Darwin — Volume 1.txt
30,The History of the Peloponnesian War.txt
31,The Colleges of Oxford- Their History and Traditions.txt
32,Gulliver's Travels into Several Remote Nations of the World .txt
33,More Letters of Charles Darwin — Volume 2.txt
34,Alice's Adventures in Wonderland.txt
35,The Works of Edgar Allan Poe vol2.txt
36,Around the World in Eighty Days.txt
37,The Common Law.txt
38,The English Constitution.txt
39,Philosophiae Naturalis Principia Mathematica.txt
40,The Waterloo Roll Call .txt
